gene_name,baseMean,log2FoldChange,lfcSE,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate
PSMB5,81.67459106445312,0.0324474573135376,0.18417786061763763,0.9485355615615845,1947,4862,GSK1059615,0.05000000074505806,A549,1
PSMB6,110.9552230834961,0.21431365609169006,0.1391306221485138,0.38948121666908264,1947,4862,GSK1059615,0.05000000074505806,A549,1
PSMB8,41.048484802246094,0.09099606424570084,0.23238243162631989,0.8758829832077026,1947,4862,GSK1059615,0.05000000074505806,A549,1
PSMB9,53.70062255859375,-0.4454435110092163,0.27157458662986755,0.3498345911502838,1947,4862,GSK1059615,0.05000000074505806,A549,1
PSMB5,126.17060852050781,0.011042368598282337,0.13052964210510254,0.9742940068244934,4317,4862,Gemcitabine,0.05000000074505806,A549,1
PSMB7,184.7246551513672,-0.2990867793560028,0.12480437010526657,0.09781591594219208,619,4862,HI-TOPK-032,0.05000000074505806,A549,1
PSMB7,22.797019958496094,-2.346792459487915,1.0248430967330933,0.24565251171588898,18,4862,Hydroxyfasudil,0.05000000074505806,A549,1
PSMB8,4.092988014221191,-0.1394965499639511,1.4046837091445923,0.9988799691200256,18,4862,Hydroxyfasudil,0.05000000074505806,A549,1
PSMB9,4.175503730773926,-2.015007257461548,1.948715090751648,0.8027746081352234,18,4862,Hydroxyfasudil,0.05000000074505806,A549,1
PSMB6,93.66077423095703,-0.23038922250270844,0.16328151524066925,0.4167165756225586,2107,4862,IQ 1,0.05000000074505806,A549,1
PSMB5,72.6717300415039,0.03502820432186127,0.21233336627483368,0.948399543762207,1759,4862,Infigratinib,0.05000000074505806,A549,1
PSMB6,84.8650894165039,0.1357124298810959,0.1611221581697464,0.6583424806594849,1759,4862,Infigratinib,0.05000000074505806,A549,1
PSMB8,52.986236572265625,0.9261401295661926,0.2565171718597412,0.005350690335035324,1759,4862,Infigratinib,0.05000000074505806,A549,1
PSMB10,21.961322784423828,1.109136939048767,0.3007042706012726,0.00424352427944541,1759,4862,Infigratinib,0.05000000074505806,A549,1
PSMB7,219.88583374023438,-0.24667979776859283,0.10419344156980515,0.126815065741539,1513,4862,Ipatasertib,0.05000000074505806,A549,1
PSMB9,50.725364685058594,-0.05214663967490196,0.2155154049396515,0.9279611110687256,1513,4862,Ipatasertib,0.05000000074505806,A549,1
PSMB5,98.6454849243164,-0.19077980518341064,0.24269221723079681,0.7310597896575928,2052,4862,Irinotecan,0.05000000074505806,A549,1
PSMB6,110.16470336914062,-0.20206983387470245,0.15811090171337128,0.5090117454528809,2052,4862,Irinotecan,0.05000000074505806,A549,1
PSMB10,20.66599464416504,-0.6732962131500244,0.320167601108551,0.20742817223072052,2052,4862,Irinotecan,0.05000000074505806,A549,1
PSMB7,182.55599975585938,-0.30811038613319397,0.13823243975639343,0.1518639177083969,904,4862,Ixazomib,0.05000000074505806,A549,1
PSMB6,74.82415008544922,0.07496915757656097,0.1716182678937912,0.8448895215988159,904,4862,Ixazomib,0.05000000074505806,A549,1
PSMB8,22.215505599975586,-0.795050859451294,0.3640058934688568,0.16141805052757263,904,4862,Ixazomib,0.05000000074505806,A549,1
PSMB10,11.362858772277832,-0.45297175645828247,0.6352301836013794,0.735021710395813,904,4862,Ixazomib,0.05000000074505806,A549,1
PSMB7,308.73651123046875,-0.2707100808620453,0.09885047376155853,0.0758775845170021,2369,4862,LB-100,0.05000000074505806,A549,1
PSMB6,108.38011932373047,-0.32626771926879883,0.16483116149902344,0.2594873905181885,2369,4862,LB-100,0.05000000074505806,A549,1
PSMB9,70.02267456054688,-0.12345630675554276,0.19457590579986572,0.7986748814582825,2369,4862,LB-100,0.05000000074505806,A549,1
PSMB5,77.62004852294922,0.46500059962272644,0.19068945944309235,0.0865056961774826,1796,4862,LJI308,0.05000000074505806,A549,1
PSMB6,102.48523712158203,0.49367713928222656,0.1609022319316864,0.02246059849858284,1796,4862,LJI308,0.05000000074505806,A549,1
PSMB10,19.350997924804688,0.5683823823928833,0.35491839051246643,0.31691908836364746,1796,4862,LJI308,0.05000000074505806,A549,1
PSMB7,288.696044921875,-0.02296343632042408,0.09042289853096008,0.9322253465652466,1730,4862,LY2090314,0.05000000074505806,A549,1
PSMB6,95.73532104492188,-0.41148194670677185,0.17524443566799164,0.136809840798378,1730,4862,LY2090314,0.05000000074505806,A549,1
PSMB8,34.27531433105469,-0.2975148558616638,0.25494974851608276,0.5607320666313171,1730,4862,LY2090314,0.05000000074505806,A549,1
PSMB10,15.1917142868042,-0.9059495329856873,0.38722026348114014,0.13840973377227783,1730,4862,LY2090314,0.05000000074505806,A549,1
PSMB9,60.9024658203125,-0.42969492077827454,0.20827403664588928,0.20967301726341248,1730,4862,LY2090314,0.05000000074505806,A549,1
PSMB7,209.69688415527344,-0.29920220375061035,0.12585727870464325,0.12141326069831848,1306,4862,LY-2584702 (tosylate salt),0.05000000074505806,A549,1
PSMB7,236.3748321533203,-0.3149743974208832,0.11136546730995178,0.059128399938344955,1706,4862,Lapatinib ditosylate,0.05000000074505806,A549,1
PSMB8,36.1744499206543,-0.09189175814390182,0.24387219548225403,0.8887569308280945,1706,4862,Lapatinib ditosylate,0.05000000074505806,A549,1
PSMB9,61.23653030395508,-0.049085766077041626,0.18469494581222534,0.9257351756095886,1706,4862,Lapatinib ditosylate,0.05000000074505806,A549,1
PSMB5,87.37295532226562,0.11184055358171463,0.19817346334457397,0.8121253848075867,2485,4862,Lonafarnib,0.05000000074505806,A549,1
PSMB6,113.86576080322266,0.01647152192890644,0.20445358753204346,0.9768933653831482,2485,4862,Lonafarnib,0.05000000074505806,A549,1
PSMB8,33.254478454589844,-0.3305565118789673,0.2577144205570221,0.4897956848144531,2485,4862,Lonafarnib,0.05000000074505806,A549,1
PSMB9,73.38599395751953,0.21678273379802704,0.2116403728723526,0.6057623624801636,2485,4862,Lonafarnib,0.05000000074505806,A549,1
PSMB5,63.21937942504883,-0.214857816696167,0.18216824531555176,0.4823799729347229,1394,4862,MK-3903,0.05000000074505806,A549,1
PSMB9,50.522193908691406,-0.539521336555481,0.2293933928012848,0.09876635670661926,1394,4862,MK-3903,0.05000000074505806,A549,1
PSMB7,238.1651153564453,-0.35978963971138,0.09734638780355453,0.006799072027206421,1875,4862,MK-8353,0.05000000074505806,A549,1
PSMB5,64.92774963378906,-0.26260414719581604,0.18848000466823578,0.4277792274951935,1409,4862,ML264,0.05000000074505806,A549,1
PSMB6,80.07613372802734,-0.23721562325954437,0.19258920848369598,0.49767807126045227,1409,4862,ML264,0.05000000074505806,A549,1
PSMB10,14.156789779663086,-0.7803857326507568,0.4049655497074127,0.228385329246521,1409,4862,ML264,0.05000000074505806,A549,1
PSMB7,288.45794677734375,-0.3643970191478729,0.12588748335838318,0.03473561257123947,1811,4862,Minodronic acid,0.05000000074505806,A549,1
PSMB6,97.11506652832031,-0.4707561433315277,0.17643822729587555,0.05770934373140335,1811,4862,Minodronic acid,0.05000000074505806,A549,1
PSMB9,65.2352523803711,-0.4894880950450897,0.25965163111686707,0.2283189296722412,1811,4862,Minodronic acid,0.05000000074505806,A549,1
PSMB7,210.99105834960938,-0.3076297342777252,0.12562808394432068,0.11843638122081757,1410,4862,NG25,0.05000000074505806,A549,1
PSMB9,48.44657897949219,-0.351004421710968,0.23645825684070587,0.42045146226882935,1410,4862,NG25,0.05000000074505806,A549,1
PSMB5,81.97552490234375,-0.38073885440826416,0.18601465225219727,0.178254172205925,2128,4862,NVP-BHG712,0.05000000074505806,A549,1
PSMB6,109.4682388305664,-0.23016193509101868,0.16634956002235413,0.4105910658836365,2128,4862,NVP-BHG712,0.05000000074505806,A549,1
PSMB10,19.673192977905273,-0.872744083404541,0.39687204360961914,0.13980266451835632,2128,4862,NVP-BHG712,0.05000000074505806,A549,1
PSMB9,55.75285339355469,-1.3044894933700562,0.23280386626720428,1.2357628520476283e-06,2128,4862,NVP-BHG712,0.05000000074505806,A549,1
PSMB5,64.22453308105469,-0.09606622159481049,0.2639996111392975,0.8721610903739929,1523,4862,OTS514,0.05000000074505806,A549,1
PSMB6,79.4863052368164,0.03951967507600784,0.17966337502002716,0.9268350005149841,1523,4862,OTS514,0.05000000074505806,A549,1
PSMB5,79.47110748291016,-0.30025073885917664,0.19098889827728271,0.376782089471817,1658,4862,Oleic acid,0.05000000074505806,A549,1
PSMB6,95.5436019897461,-0.2931097745895386,0.1533348262310028,0.25432005524635315,1658,4862,Oleic acid,0.05000000074505806,A549,1
PSMB8,29.604290008544922,-0.4637407958507538,0.34248289465904236,0.47045812010765076,1658,4862,Oleic acid,0.05000000074505806,A549,1
PSMB10,17.69911003112793,-0.2610221803188324,0.3644299805164337,0.752716064453125,1658,4862,Oleic acid,0.05000000074505806,A549,1
PSMB5,85.705078125,-0.08913625031709671,0.16373595595359802,0.7941868305206299,2232,4862,Oxaliplatin,0.05000000074505806,A549,1
PSMB6,97.53644561767578,-0.30407094955444336,0.16979645192623138,0.25415360927581787,2232,4862,Oxaliplatin,0.05000000074505806,A549,1
PSMB8,34.89531707763672,-0.15537481009960175,0.39666280150413513,0.855013906955719,2232,4862,Oxaliplatin,0.05000000074505806,A549,1
PSMB10,18.911909103393555,-0.14947043359279633,0.34893059730529785,0.8403176069259644,2232,4862,Oxaliplatin,0.05000000074505806,A549,1
PSMB5,1.851595163345337,0.5959216952323914,1.9497785568237305,0.8366347551345825,1,4862,PF-06260933,0.05000000074505806,A549,1
PSMB6,2.1516809463500977,0.379079669713974,1.9505157470703125,0.898360550403595,1,4862,PF-06260933,0.05000000074505806,A549,1
PSMB8,0.8566581606864929,1.7077537775039673,1.958941102027893,0.5111406445503235,1,4862,PF-06260933,0.05000000074505806,A549,1
PSMB10,0.5552932024002075,2.33266282081604,1.9614380598068237,0.34640809893608093,1,4862,PF-06260933,0.05000000074505806,A549,1
PSMB9,1.3915975093841553,1.0076638460159302,1.9527372121810913,0.7170481085777283,1,4862,PF-06260933,0.05000000074505806,A549,1
PSMB5,77.08303833007812,-0.155811607837677,0.1714165061712265,0.6684502959251404,1956,4862,PH-797804,0.05000000074505806,A549,1
PSMB7,272.3759765625,-0.17653439939022064,0.09354310482740402,0.2634875476360321,1956,4862,PH-797804,0.05000000074505806,A549,1
PSMB6,102.01091766357422,0.034129515290260315,0.15170711278915405,0.9346007704734802,1956,4862,PH-797804,0.05000000074505806,A549,1
PSMB8,45.60323715209961,0.39848747849464417,0.22561363875865936,0.3072807192802429,1956,4862,PH-797804,0.05000000074505806,A549,1
PSMB10,20.280786514282227,-0.10970720648765564,0.3334100544452667,0.90052729845047,1956,4862,PH-797804,0.05000000074505806,A549,1
PSMB7,230.10777282714844,-0.21052616834640503,0.1046982929110527,0.26156461238861084,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB8,33.687095642089844,-0.14936338365077972,0.2689858675003052,0.8339198231697083,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB9,45.54079818725586,-0.5425105094909668,0.24168093502521515,0.1920265257358551,1378,4862,4EGI-1,0.05000000074505806,A549,1
PSMB7,289.94915771484375,-0.22004735469818115,0.09759039431810379,0.1608714610338211,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB6,92.1303482055664,-0.37930989265441895,0.158225879073143,0.12642261385917664,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB8,31.022594451904297,-0.675510048866272,0.3117519021034241,0.184043288230896,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB10,20.24919891357422,-0.3515748381614685,0.3157913386821747,0.590179979801178,2165,4862,9-ING-41,0.05000000074505806,A549,1
PSMB9,68.36180114746094,-0.039104100316762924,0.18291541934013367,0.9441269636154175,2165,4862,9-ING-41,0.05000000074505806,A549,1
