line,drug,conc,plate,is_proteasome,lfc_b6,lfc_b5,lfc_b1,base_b6,base_b5,base_b1,padj_b6,padj_b5,padj_b1,spread,lowest,highest,induced,fdr_ok,N_eff,first_b1,first_b5,first_b6,base_rank_lowest
SHP-77,Erythromycin,0.5,11,False,-0.0531015321612358,-0.136166974902153,-0.5023353695869446,90.04055786132812,68.1350326538086,67.5801773071289,0.930818498134613,0.8212358951568604,0.1539898514747619,0.44923383742570877,b1,b6,False,False,5.905292727083353,0.27365470868586844,0.3527204140027864,0.3736248773113451,1
SW 900,Vinblastine (sulfate),0.5,5,False,-0.4715444445610046,-0.1402251422405243,-0.0223405696451663,49.76750564575195,30.029232025146484,27.236846923828125,0.1427925527095794,0.786302924156189,0.9721579551696776,0.4492038749158383,b6,b1,False,False,5.910065644025343,0.3767919039109305,0.3472280250745799,0.27598007101448946,3
SW480,MK-3903,5.0,3,False,-0.9656913876533508,-0.516558051109314,-0.9255441427230836,85.38348388671875,47.71102142333984,58.45342254638672,4.485875251702964e-06,0.283496618270874,0.0057835150510072,0.44913333654403687,b6,b5,False,False,5.898609280779422,0.3030020192592623,0.4023116455642418,0.2946863351764958,3
HT-29,(S)-Crizotinib,0.050000000745058,7,False,-0.0723869875073432,0.0937323942780494,-0.355276882648468,142.78257751464844,29.520658493041992,51.95257568359375,0.9014285802841188,0.9334630966186525,0.6700960397720337,0.44900927692651743,b1,b5,False,False,5.914585134856468,0.27919453500146246,0.3811291565559495,0.3396763084425881,2
RKO,(R)-Verapamil (hydrochloride),0.5,5,False,-0.2293852567672729,-0.2775045335292816,0.1714370250701904,103.03760528564452,64.49689483642578,66.79037475585938,0.5423905849456787,0.5182331800460815,0.6190088391304016,0.44894155859947205,b5,b1,False,False,5.9002309426511,0.4016053663563321,0.2942081044338951,0.30418652920977274,1
RKO,Pyridoxine,5.0,6,False,-0.200383186340332,-0.6493164896965027,-0.3181434273719787,146.9225616455078,87.34394073486328,78.81117248535156,0.3211511373519897,0.0033954612445086,0.2126318961381912,0.44893330335617065,b5,b6,False,False,5.910165971084002,0.3472295855884648,0.2760092878210682,0.376761126590467,2
MIA PaCa-2,Mebendazole,0.5,8,False,0.0947172120213508,0.1596813350915908,0.5435967445373535,305.86077880859375,147.267333984375,104.70735168457033,0.4821021854877472,0.476801186800003,0.1396801173686981,0.4488795325160027,b6,b1,True,False,5.9032750726073004,0.40016542485269,0.3066687393541325,0.2931658357931775,3
SW480,Almonertinib (hydrochloride),5.0,14,False,0.3793686032295227,-0.0650070682168006,-0.0694743171334266,198.06246948242188,83.23599243164062,73.28713989257812,0.0247928164899349,0.8658156394958496,0.8658156394958496,0.4488429203629493,b1,b6,False,False,5.8910491024183225,0.2969080275181207,0.2978288165012378,0.40526315598064155,1
CFPAC-1,Tolcapone,5.0,14,False,-0.1025241240859031,0.1538368463516235,0.3461994528770447,117.39749908447266,39.633934020996094,13.291424751281738,0.8959673643112183,0.8970946073532104,0.7761068940162659,0.4487235769629478,b6,b1,False,False,5.916053634331296,0.3834558516504585,0.33558957027576986,0.28095457807377155,3
AsPC-1,olaparib,0.5,2,False,0.2428916245698928,-0.1575968116521835,-0.2058294266462326,252.31463623046875,76.10689544677734,65.39334869384766,0.0802085399627685,0.6568007469177246,0.5181596875190735,0.4487210512161254,b1,b6,False,False,5.900352588813032,0.2942191319001907,0.30422182943724746,0.4015590386625618,1
