Cell_Name_Vevo,drug,concentration,plate,position,delta,se,z,p,fdr
A549,Afatinib,5.0,9,b1,-0.14919504523277283,0.44382812817486705,-0.33615500181635716,0.7367539837060063,0.9219716474469342
A549,Afatinib,5.0,13,b1,-0.24102790653705597,0.42713631963955545,-0.5642880163888908,0.5725581356430189,0.8542615025358701
A549,Aliskiren,0.050000000745058,4,b1,0.43654082715511333,0.2881815575666088,1.514811811141709,0.12982006851320027,0.5041686022686076
A549,Aliskiren,0.5,5,b1,-0.2366044856607914,0.29121548965403893,-0.8124721866335995,0.4165207397618007,0.7737649010974857
A549,Aliskiren,5.0,6,b1,-0.5114596188068389,0.24053196489283513,-2.1263686056641613,0.03347257968008874,0.28148164289599115
A549,Aliskiren,5.0,14,b1,0.47235968708992,0.43766314681203683,1.0792768148988892,0.2804643453310204,0.6758042284995674
A549,Allantoin,0.050000000745058,4,b1,0.03552479296922681,0.3544113946718208,0.10023603502399292,0.9201569382510522,0.9808002241620428
A549,Allantoin,0.5,5,b1,-0.21350370347499842,0.3148489749124958,-0.6781146533328759,0.49769900052409544,0.8181498465156911
A549,Allantoin,5.0,6,b1,-0.2653696164488792,0.3182877506484,-0.8337412165824207,0.4044268267502733,0.7661016601138
A549,Allantoin,5.0,14,b1,0.156728595495224,0.4615342584245308,0.33958171605770837,0.7341715492157879,0.9211241721604451
A549,Allopurinol,0.050000000745058,10,b1,-0.20477971434593198,0.33432777835689986,-0.6125118150587134,0.540199183339914,0.8392085508321735
A549,Allopurinol,0.5,11,b1,0.1882429718971253,0.3039013005581108,0.6194214093569836,0.5356387807679253,0.837112880512803
A549,Allopurinol,5.0,12,b1,0.2280322089791298,0.30813681278296623,0.7400355930199827,0.4592783975323257,0.79834440472978
A549,Almonertinib (hydrochloride),0.050000000745058,4,b1,-0.5386838316917419,0.3222288798131714,-1.6717428680013764,0.09457503704513498,0.44254775365855464
A549,Almonertinib (hydrochloride),0.5,5,b1,-0.7524863183498383,0.34695575552525915,-2.1688250053977143,0.030095972062529033,0.2681319089919356
