gene_name,baseMean,log2FoldChange,padj,n_cells_trt,n_cells_ctrl,drug,concentration,concentration_unit,Cell_Name_Vevo,plate
PSMB6,110.95522,0.21431366,0.38948122,1947,4862,GSK1059615,0.05,uM,A549,1
PSMB1,180.18246,-0.031642374,0.91435856,4317,4862,Gemcitabine,0.05,uM,A549,1
PSMB5,126.17061,0.011042369,0.974294,4317,4862,Gemcitabine,0.05,uM,A549,1
PSMB6,149.19206,-0.32641113,0.22559793,4317,4862,Gemcitabine,0.05,uM,A549,1
PSMB1,78.94287,0.2354293,0.38764927,619,4862,HI-TOPK-032,0.05,uM,A549,1
PSMB5,46.498676,-0.65197176,0.0566069,619,4862,HI-TOPK-032,0.05,uM,A549,1
PSMB6,73.86012,0.08201751,0.84662443,619,4862,HI-TOPK-032,0.05,uM,A549,1
PSMB1,18.613756,0.6063077,0.812866,18,4862,Hydroxyfasudil,0.05,uM,A549,1
PSMB5,10.667773,0.14983284,0.99887997,18,4862,Hydroxyfasudil,0.05,uM,A549,1
PSMB6,6.277655,-2.6032772,0.6797806,18,4862,Hydroxyfasudil,0.05,uM,A549,1
PSMB1,122.908356,0.36625642,0.13758476,2107,4862,IQ 1,0.05,uM,A549,1
PSMB5,77.652016,-0.13477415,0.84186393,2107,4862,IQ 1,0.05,uM,A549,1
PSMB6,93.660774,-0.23038922,0.41671658,2107,4862,IQ 1,0.05,uM,A549,1
PSMB1,99.73948,0.21322906,0.49875703,1759,4862,Infigratinib,0.05,uM,A549,1
PSMB5,72.67173,0.035028204,0.94839954,1759,4862,Infigratinib,0.05,uM,A549,1
PSMB6,84.86509,0.13571243,0.6583425,1759,4862,Infigratinib,0.05,uM,A549,1
PSMB1,86.27712,-0.18661377,0.5817189,1513,4862,Ipatasertib,0.05,uM,A549,1
PSMB5,66.33434,-0.19801113,0.58365345,1513,4862,Ipatasertib,0.05,uM,A549,1
PSMB6,68.16,-0.3514243,0.42332074,1513,4862,Ipatasertib,0.05,uM,A549,1
PSMB1,132.78915,-0.07873081,0.880769,2052,4862,Irinotecan,0.05,uM,A549,1
PSMB5,98.645485,-0.1907798,0.7310598,2052,4862,Irinotecan,0.05,uM,A549,1
PSMB6,110.1647,-0.20206983,0.50901175,2052,4862,Irinotecan,0.05,uM,A549,1
PSMB1,82.35611,0.24465555,0.40747982,904,4862,Ixazomib,0.05,uM,A549,1
PSMB5,62.200836,0.3692165,0.35403308,904,4862,Ixazomib,0.05,uM,A549,1
PSMB6,74.82415,0.07496916,0.8448895,904,4862,Ixazomib,0.05,uM,A549,1
PSMB1,114.97061,-0.24282084,0.41855615,2369,4862,LB-100,0.05,uM,A549,1
PSMB5,88.79546,-0.14172892,0.7499903,2369,4862,LB-100,0.05,uM,A549,1
PSMB6,108.38012,-0.32626772,0.2594874,2369,4862,LB-100,0.05,uM,A549,1
PSMB1,94.970276,0.20168114,0.53951955,1796,4862,LJI308,0.05,uM,A549,1
PSMB5,77.62005,0.4650006,0.086505696,1796,4862,LJI308,0.05,uM,A549,1
PSMB6,102.48524,0.49367714,0.022460598,1796,4862,LJI308,0.05,uM,A549,1
PSMB1,124.70274,0.27310666,0.22598648,1730,4862,LY2090314,0.05,uM,A549,1
PSMB5,71.31457,-0.35941178,0.46181318,1730,4862,LY2090314,0.05,uM,A549,1
PSMB6,95.73532,-0.41148195,0.13680984,1730,4862,LY2090314,0.05,uM,A549,1
PSMB1,86.31803,-0.13568144,0.69763696,1306,4862,LY-2584702 (tosylate salt),0.05,uM,A549,1
